"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","S17CODEA","S17C_DEA","S17GFTCA","S17G_TCA","SUBEXPX","SUBEXPX_","SUBMO","SUBMO_"
"20141",2652205,38,0,"1","400","D","1","D",12,"D","11","D"
"20141",2652255,33,0,"1","510","D","1","D",25,"D","12","D"
"20141",2652265,44,0,"1","830","D","1","D",56,"D","12","D"
"20141",2652265,45,0,"1","150","D","1","D",65,"D","10","D"
"20141",2652265,46,0,"1","150","D","1","D",105,"D","12","D"
"20141",2652265,47,0,"1","210","D","2","D",170,"D","12","D"
"20141",2652265,48,0,"1","350","D","1","D",11,"D","13","D"
"20141",2652335,39,0,"1","830","D","1","D",160,"D","13","D"
"20141",2652335,40,0,"1","150","D","1","D",9,"D","11","D"
"20141",2652335,41,0,"1","150","D","1","D",9,"D","12","D"
