"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VOPREGY","VOPREGY_","VOPMO_C","VOPMO_C_","VOPREGX","VOPREGX_","VOPRGY1","VOPRGY1_","VOPRGY2","VOPRGY2_","VOPRGY3","VOPRGY3_","VOPRGY4","VOPRGY4_"
"20143",2814772,33,0,"1","420","D","05","D",350,"F",,"A",,"A",,"A",,"A"
"20143",2814782,33,0,"1","410","D","06","D",80,"D",,"A",,"A",,"A",,"A"
"20143",2814782,34,0,"1","420","D","05","D",195,"D",,"A",,"A",,"A",,"A"
"20143",2814882,42,0,"1","400","D","06","D",22,"D",,"A",,"A",,"A",,"A"
"20143",2814912,49,0,"1","420","D","05","D",50,"D",,"A",,"A",,"A",,"A"
"20143",2814912,50,0,"2","420","D","04","D",50,"D",,"A",,"A",,"A",,"A"
"20143",2815072,43,0,"1","420","D","06","D",120,"D",,"A",,"A",,"A",,"A"
"20143",2815132,39,0,"1","400","D","06","D",37,"D",,"A",,"A",,"A",,"A"
"20143",2815132,40,0,"1","420","D","06","D",73,"D",,"A",,"A",,"A",,"A"
"20143",2815282,65,0,"1","420","D","04","D",135,"D",,"A",,"A",,"A",,"A"
"20143",2815282,66,0,"1","410","D","04","D",60,"D",,"A",,"A",,"A",,"A"
"20143",2815322,20,0,"1","420","D","04","D",170,"D",,"A",,"A",,"A",,"A"
"20143",2815362,40,0,"1","400","D","06","D",60,"D",,"A",,"A",,"A",,"A"
"20143",2815372,56,0,"1","420","D","05","D",210,"D",,"A",,"A",,"A",,"A"
"20143",2815402,16,0,"1","420","D","05","D",101,"D",,"A",,"A",,"A",,"A"
"20143",2815402,17,0,"1","420","D","06","D",101,"D",,"A",,"A",,"A",,"A"
"20143",2815412,40,0,"2","420","D","04","D",40,"D",,"A",,"A",,"A",,"A"
"20143",2815412,41,0,"2","400","D","04","D",24,"D",,"A",,"A",,"A",,"A"
"20143",2815522,21,0,"1","420","D","05","D",107,"D",,"A",,"A",,"A",,"A"
"20143",2815532,35,0,"1","420","D","04","D",26,"D",,"A",,"A",,"A",,"A"
"20143",2815542,49,0,"1","410","D","06","D",75,"D",,"A",,"A",,"A",,"A"
"20143",2815572,23,0,"1","420","D","05","D",20,"D",,"A",,"A",,"A",,"A"
"20143",2815692,54,0,"1","410","D","06","D",28,"D",,"A",,"A",,"A",,"A"
"20143",2815692,55,0,"1","420","D","06","D",75,"D",,"A",,"A",,"A",,"A"
"20143",2815692,56,0,"2","410","D","04","D",28,"D",,"A",,"A",,"A",,"A"
"20143",2815712,31,0,"2","400","D","04","D",33,"D",,"A",,"A",,"A",,"A"
"20143",2815872,30,0,"2","420","D","04","D",179,"D",,"A",,"A",,"A",,"A"
"20143",2815882,37,0,"1","400","D","04","D",40,"D",,"A",,"A",,"A",,"A"
"20143",2815904,26,0,"2","400","D","04","D",81,"D",,"A",,"A",,"A",,"A"
"20143",2815922,46,0,"1","400","D","05","D",25,"D",,"A",,"A",,"A",,"A"
"20143",2815922,47,0,"1","420","D","06","D",67,"D",,"A",,"A",,"A",,"A"
"20143",2815985,23,0,"1","420","D","06","D",60,"D",,"A",,"A",,"A",,"A"
"20143",2816002,24,0,"1","420","D","06","D",158,"D",,"A",,"A",,"A",,"A"
"20143",2816172,42,0,"2","420","D","04","D",40,"D",,"A",,"A",,"A",,"A"
"20143",2816172,43,0,"2","410","D","04","D",40,"D",,"A",,"A",,"A",,"A"
"20143",2816192,55,0,"1","430","D","06","D",.,"H","415","D","400","D",,"A",,"A"
"20143",2816192,55,1,"1","420","D","06","D",88,"E",,"A",,"A",,"A",,"A"
"20143",2816192,55,2,"1","400","D","06","D",12,"E",,"A",,"A",,"A",,"A"
"20143",2816232,43,0,"2","420","D","04","D",195,"D",,"A",,"A",,"A",,"A"
"20143",2816232,44,0,"2","410","D","04","D",20,"D",,"A",,"A",,"A",,"A"
"20143",2816252,31,0,"1","420","D","06","D",165,"D",,"A",,"A",,"A",,"A"
"20143",2816252,32,0,"1","420","D","05","D",180,"D",,"A",,"A",,"A",,"A"
"20143",2816322,55,0,"1","420","D","05","D",200,"D",,"A",,"A",,"A",,"A"
"20143",2816322,56,0,"1","420","D","05","D",110,"D",,"A",,"A",,"A",,"A"
"20143",2816412,50,0,"1","420","D","06","D",72,"F",,"A",,"A",,"A",,"A"
"20143",2816412,51,0,"1","405","D","06","D",200,"D",,"A",,"A",,"A",,"A"
"20143",2816552,37,0,"1","420","D","06","D",100,"D",,"A",,"A",,"A",,"A"
"20143",2816552,38,0,"1","405","D","06","D",512,"D",,"A",,"A",,"A",,"A"
"20143",2816622,33,0,"1","420","D","04","D",150,"D",,"A",,"A",,"A",,"A"
"20143",2816662,37,0,"1","420","D","06","D",101,"D",,"A",,"A",,"A",,"A"
"20143",2816702,29,0,"1","420","D","06","D",31,"D",,"A",,"A",,"A",,"A"
"20143",2816922,54,0,"1","410","D","04","D",30,"D",,"A",,"A",,"A",,"A"
"20143",2817052,33,0,"1","420","D","05","D",55,"D",,"A",,"A",,"A",,"A"
"20143",2817152,22,0,"1","420","D","05","D",68,"D",,"A",,"A",,"A",,"A"
"20143",2817322,55,0,"1","420","D","04","D",383,"D",,"A",,"A",,"A",,"A"
"20143",2817342,22,0,"1","400","D","06","D",17,"D",,"A",,"A",,"A",,"A"
"20143",2817352,31,0,"1","420","D","06","D",350,"D",,"A",,"A",,"A",,"A"
"20143",2817372,20,0,"2","420","D","04","D",96,"D",,"A",,"A",,"A",,"A"
"20143",2817582,48,0,"2","420","D","04","D",65,"D",,"A",,"A",,"A",,"A"
"20143",2817642,32,0,"2","420","D","04","D",87,"D",,"A",,"A",,"A",,"A"
"20143",2817742,58,0,"1","410","D","05","D",11,"D",,"A",,"A",,"A",,"A"
"20143",2817912,36,0,"2","410","D","04","D",20,"D",,"A",,"A",,"A",,"A"
"20143",2817912,37,0,"2","420","D","04","D",40,"D",,"A",,"A",,"A",,"A"
"20143",2817932,23,0,"1","410","D","06","D",15,"D",,"A",,"A",,"A",,"A"
"20143",2818002,34,0,"1","420","D","06","D",80,"D",,"A",,"A",,"A",,"A"
"20143",2818132,28,0,"1","420","D","06","D",126,"D",,"A",,"A",,"A",,"A"
"20143",2818272,54,0,"1","420","D","06","D",60,"D",,"A",,"A",,"A",,"A"
"20143",2818342,68,0,"1","420","D","04","D",100,"D",,"A",,"A",,"A",,"A"
